Ubigeo,REGION,Provincia,Cant_CCPP,IDH_2019,pobreza,%_pobreza,pobre_ext,%pobre_ext,,,,
230300,TACNA,JORGE BASADRE,85.00,0.68,885.49,7.90,58.51,0.52,,,,
230100,TACNA,TACNA,371.00,0.61,"51,641.82",14.64,"4,173.77",1.18,,,,
230400,TACNA,TARATA,298.00,0.43,"2,511.29",32.02,"1,291.87",16.47,,,,
240200,TUMBES,CONTRALMIRANTE VILLAR,74.00,0.54,"2,404.85",10.80,45.55,0.20,,,,
240100,TUMBES,TUMBES,84.00,0.59,"17,555.18",10.20,662.63,0.39,,,,
240300,TUMBES,ZARUMILLA,32.00,0.51,"5,056.74",9.46,132.87,0.25,,,,
250200,UCAYALI,ATALAYA,310.00,0.33,"22,734.98",32.25,"4,350.46",6.17,,,,
250100,UCAYALI,CORONEL PORTILLO,415.00,0.52,"44,676.64",9.49,"2,394.79",0.51,,,,
250300,UCAYALI,PADRE ABAD,251.00,0.44,"8,244.73",10.55,848.95,1.09,,,,
250400,UCAYALI,PURÚS,49.00,0.35,"1,583.01",31.93,78.26,1.58,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
