"PROVINCIA","ElevacionPromedio","IDH_2019","FallMasc_1ola_mill_hab","FallFem_1ola_mill_hab","CasosMasc_1ola_mill_hab","CasosFem_1ola_mill_hab","Adult_15_64_mill_hab","Mayores_65_mill_hab","Pobreza_mill_hab","PobrezaExt_mill_hab","UCI_1ola_cant_hosp","UCIN_1ola_cant_hosp","VENT_1ola_cant_hosp"
"CHUPACA",4000,0.51,1281.79304535716,421.160572045925,14484.2614125359,10803.6842394389,647873.139111168,106407.134093864,247320.320082035,49803.1532108916,0,0,0
"CHURCAMPA",3100,0.32,218.088238501298,218.088238501298,2922.38239591739,3838.35299762284,443591.477111639,73910.1040280898,355784.572438008,191814.276056092,0,0,0
"CONCEPCION",3700,0.45,894.57748417286,309.661436829067,5694.3297550234,6193.22873658134,620062.620423892,108605.147261217,313101.775392238,95937.0699146711,2,20,2
"CONDESUYOS",3010.714286,0.58,354.86160397445,253.472574267464,8212.51140626584,3092.36540606306,582226.503092365,92314.7115482105,173806.1441752,113487.78262192,0,0,0
"CONDORCANQUI",1400,0.25,882.231144559875,342.0896274824,24396.3918546659,33614.8070794548,456851.695144128,17410.5615671306,772676.941358636,518556.201724852,0,17,0
"CONTRALMIRANTE VILLAR",800,0.54,1872.65917602996,816.287333141266,10659.7522327859,10083.5494093921,673581.100547393,73657.9275905119,115473.446653222,2187.1698837991,0,8,0
"CONTUMAZA",2100,0.42,435.147483915084,217.573741957542,3325.77005563671,3108.19631367917,556211.730332888,111895.06729245,421404.593914152,237741.273738849,0,0,0
"CORONEL PORTILLO",1100,0.52,2328.04125693984,1217.1607006392,17867.7166470133,19472.0407306001,645965.656330501,58416.1221918002,113053.327327662,6059.96730620322,7.2,95,7.2
"CORONGO",2900,0.39,120.235661897319,120.235661897319,1322.59228087051,2404.71323794638,559576.770470121,135265.119634484,391625.586148852,75958.8794036311,0,0,0
"COTABAMBAS",3500,0.37,242.121731356627,130.373239961261,4432.69015868286,3724.94971317887,610202.637264397,74275.4972807867,442131.04373091,346855.211204649,0,6,0
"CUSCO",3800,0.67,1173.08423396513,886.33031010699,11969.8039428665,11965.4591864444,719632.868082333,68896.9749633411,88490.0016292837,3102.67745614511,3,42.0666666666667,3.13333333333333
"CUTERVO",2200,0.35,253.792792284699,105.746996785291,2375.78252777621,2213.63713270543,539154.588009701,81255.9923298178,569780.892222661,370073.881901754,0,26,0
"DANIEL ALCIDES CARRION",3900,0.37,326.299760713509,290.044231745341,4604.45217895729,4386.91900514829,584711.043434124,76662.3160031905,358721.811326227,188911.609020376,0,0,0
"DATEM DEL MARAÑON",1100,0.32,692.562481180367,286.058416139717,15853.6585365854,16696.7780788919,441644.083107498,19677.80788919,536680.216802168,184274.314965372,0,0,0
"DOS DE MAYO",3100,0.39,237.278236110097,109.513032050814,2829.0866613127,2646.56494122801,371230.926480251,60597.2110681171,301078.885887421,156722.822515879,0,0,0
"EL COLLAO",4620,0.38,520.144283501249,214.842204054864,2781.64116828929,2137.1145561247,507378.133586621,101462.057736015,331936.067483067,113138.844601242,0,14,0
"EL DORADO",1200,0.33,894.938885094557,259.061256211582,14578.0834177245,19782.8595652481,566637.620404607,55250.7006429429,362760.886460517,151111.843809614,0,0,0
"ESPINAR",4500,0.46,353.621794418434,183.883333097585,5049.71922429523,5063.86409607197,556770.442875935,70059.5499101801,294792.84835283,49505.9196288386,0,20,0
"FERREÑAFE",2000,0.42,1654.81624265789,1218.38118964922,12020.1487516139,13265.8071320762,555363.604953538,80422.2509137859,303861.450055464,176335.945882053,0,43,0
"GENERAL SANCHEZ CERRO",3000,0.53,440.782558573221,135.625402637914,7391.58444376632,7391.58444376632,339097.412945445,93717.1532227986,112016.410673719,38090.0552673516,0,0,0
"GRAN CHIMU",2300,0.37,548.045305078553,304.46961393253,6272.07404701011,7429.05857995372,517172.086225795,86012.6659359396,423107.721349409,225640.604067714,0,9,0
"GRAU",3700,0.3,110.35903472631,147.145379635079,1802.53090052972,1324.30841671572,478921.424367275,104546.792230724,423232.416127134,198594.761624485,0,0,0
"HUACAYBAMBA",2600,0.32,170.415814587594,42.6039536468984,2939.67280163599,2769.2569870484,420160.190865712,65397.0688479891,440201.51670075,272941.376959782,0,0,0
"HUALGAYOC",3000,0.37,300.265395866024,174.34764921253,3951.88004881734,4339.31926928963,523139.807442707,78853.5673466225,502240.754731601,245144.708548846,0,15,0
"HUALLAGA",1700,0.41,1275.84524747645,675.447483958122,13583.9993996022,18462.2312281887,661563.285676761,76850.9137303464,270366.993132951,119067.507223536,0,0,0
"HUAMALIES",2800,0.38,77.3295527774198,141.770846758603,2990.0760407269,3286.50599304034,411805.645057353,69145.5084418095,324522.361129011,156389.354298234,0,0,0
"HUAMANGA",3400,0.49,1237.59809174819,549.659487675874,12344.8681162927,13039.7206761849,664980.8137726,69409.2024751962,262020.085041657,125448.473744253,5.8,48,6
"HUANCA SANCOS",3800,0.38,185.391175380052,92.6955876900259,2966.25880608083,3522.43233222099,477753.058954394,104560.622914349,406488.691138302,252429.551353356,0,0,0
"HUANCABAMBA",2000,0.26,443.944369178014,214.317971327317,1875.28224911402,1737.50641040361,511355.025373717,84739.7950201688,514018.461962387,353684.738264177,0,3,0
"HUANCANE",4500,0.32,519.503651368521,237.487383482752,4156.02921094817,3191.23671554949,548120.881078193,150403.728551921,456551.98005106,190531.378020543,0,20,0
"HUANCAVELICA",3800,0.43,753.921310229425,355.50760970168,10181.0024088705,11382.3729520003,451635.641476705,65511.4712498544,287794.504342709,89897.1479708484,7.33333333333333,27.3333333333333,8.33333333333333
"HUANCAYO",3200,0.58,1543.36190194726,1000.57755345267,9837.7248643522,10747.5164235727,716061.973996573,89822.1173998119,151766.888609448,20834.091492966,4.61538461538461,33.5384615384615,4.61538461538461
"HUANTA",2700,0.39,591.397374901802,203.017009294648,7749.95365916092,7970.62432143771,525337.405442621,57983.4232198498,404758.012551747,248883.406448879,0,14.5,0
"HUANUCO",2600,0.53,1039.70287045678,670.169922523346,13516.1373159381,15808.4942471862,624407.338047488,69813.5424430512,216700.039458603,139261.309900351,5.125,45.5,5.875
"HUARAL",2600,0.63,2054.21954471384,992.543578094909,14364.7227297417,12300.6271295245,647508.764999259,86030.3194903955,126464.915312824,10994.8644511382,3,17,3
"HUARAZ",3111.111111,0.56,1870.30218907696,823.403479467846,15303.5418112524,15803.4653523579,674455.671485537,89574.5356592521,155716.713914342,33503.7582487384,5,67.25,5.5
"HUARI",3915.789474,0.42,435.452014743161,93.3111460163917,1835.11920498904,1835.11920498904,589913.065115628,102300.119749304,373627.004245657,96168.1777888369,0,2.5,0
"HUARMEY",2400,0.57,1275.46953222155,892.828672555084,17984.1204043238,20120.5318707949,644749.848537993,91897.5797965626,159513.727240841,31106.4698192022,0,20,0
"HUAROCHIRI",3010.714286,0.55,1290.60508636683,760.535140180454,8296.74698378677,7444.02576600869,467901.960106475,77563.0610387066,211654.62486028,42828.9602562773,0,10,0
"HUAURA",2600,0.65,2276.29985311424,1241.22765575474,9869.69257067267,9118.08412860665,682988.738758085,99212.3143527148,143782.952661553,13392.6746093784,4,59.5,4
"HUAYLAS",3412.5,0.41,660.180681028492,503.822098679639,7678.94371091035,10059.0687977762,581306.462821404,94788.0472550382,390682.592077832,187848.332175122,0,18,0
"HUAYTARA",3000,0.4,422.47570764681,253.485424588086,4731.72792564428,3548.79594423321,453316.434305027,120025.348542459,297002.534854246,217763.836079425,0,0,0
"ICA",1800,0.64,2292.39133030334,1472.54304203513,16463.2965330234,18296.6789511248,712625.928962401,91027.0390741286,35665.0455427051,301.115152865887,3.91666666666667,43.8333333333333,4.16666666666667
"ILO",900,0.69,3137.60645450471,1168.1132254866,26798.6906265705,27912.4730043601,707278.975320213,85408.0925797645,69834.290914524,3658.09597544246,0,43.6666666666667,0.666666666666667
"ISLAY",1500,0.63,670.071353544134,1666.1233655692,15357.3110217683,15230.5407656923,670161.903727046,112318.446883263,110500.199210402,11535.9122025426,0,22,0
"JAEN",2100,0.49,1549.15966805145,607.708937306355,11830.3993942836,13753.1506221545,624615.200693386,69771.9597118862,451906.861133527,184553.682616536,2.2,34.6,2.2
"JAUJA",3300,0.5,753.946620579263,417.57043601313,4001.71667845916,4106.10928746245,634219.897231276,122765.70818786,263832.368668298,64233.700254022,4,23,4
"JORGE BASADRE",2100,0.68,1056.74733171299,528.373665856494,24199.5138962274,14688.7879108105,900348.726619465,73866.6384867378,93573.9194758533,6183.02863785269,0,0,0
"JULCAN",2800,0.22,122.297979025897,61.1489895129483,947.809337450699,1559.29923258018,535298.254196349,87718.2254563243,592425.474669031,555371.632983765,0,3,0
"JUNIN",2900,0.43,610.337592981118,381.460995613199,6866.29792103757,8888.04119778753,570398.626740416,102117.108525653,326756.437154301,110264.35246996,0,18,0
"LA CONVENCION",3010.714286,0.45,456.760048721072,228.380024360536,5932.4430137463,4605.66382460414,601694.36227597,63457.0210544632,297158.082477814,39042.6526883591,0,19.75,0
"LA MAR",2600,0.33,315.979864455534,283.292292270479,3268.75721850552,3682.79979951622,518087.123275731,54250.4739697967,438981.455250714,244640.763581686,0,10.5,0
"LA UNION",3312,0.36,193.000514668039,64.3335048893464,2058.67215645908,1479.67061245497,506690.684508492,113612.969634586,373010.164693773,240714.745239321,0,0,0
"LAMAS",1100,0.36,794.512270178933,380.470664592729,7251.32325459083,9411.05379183778,581784.40741694,68059.4877074404,311457.20264539,175510.446157806,0,4,0
"LAMBAYEQUE",2000,0.48,1532.34923186502,937.706246365163,9801.80745329439,10533.6757431404,627720.818385577,77551.9005704652,280906.797880196,27305.71183993,0,0,0
"LAMPA",4600,0.43,317.46624586827,242.768305663971,4668.62126276868,4874.0405983305,520028.385217278,84147.2296401427,425820.83699042,116387.047377169,0,2,0
"LAURICOCHA",4523.076923,0.42,50.3423278292388,125.855819573097,1006.84655658478,402.738622633911,307566.451872735,46868.7072090213,214316.351188079,105309.857027789,0,0,0
"LEONCIO PRADO",2000,0.5,1232.83714573544,739.702287441264,4057.79540539208,5565.37911503427,609127.221748656,53300.8333979105,180507.435769185,103620.73702527,6,41.6666666666667,6
"LIMA",1400,0.73,2547.88939551956,1389.70016425748,13746.9267161607,13073.8634098187,671143.954851878,83356.204159857,141995.670565759,4485.96241971547,5.39247311827957,59.4247311827957,5.44623655913978
"LORETO",200,0.36,1042.49874764761,541.557790985771,16828.9083548828,22339.258878163,483949.580969659,43419.3958922842,515519.692395175,176157.105915165,0,0,0
"LUCANAS",2700,0.43,338.194884802367,225.463256534912,4142.887338829,4466.99077009794,457281.758613401,105460.438244205,286690.622137673,134608.046219968,2,12,2
"LUYA",2200,0.34,171.919770773639,133.715377268386,3400.19102196753,4680.03820439351,537650.429799427,93677.1728748806,469666.857688634,243842.788920726,0,0,0
"MANU",2100,0.59,531.268973891925,151.791135397693,10321.7972070431,10625.3794778385,534190.95324833,20036.4298724954,45607.1645415908,824.225865209472,0,0,0
"MARAÑON",2600,0.33,121.168060099358,212.044105173876,3392.70568278202,4240.88210347752,506058.403004968,55010.2992851084,358906.155337453,270846.661819944,0,0,0
"MARISCAL CACERES",2400,0.45,2403.53018495916,957.656558069665,13501.0797108253,15529.0583043846,783794.948831096,70678.8095014553,340959.346540231,69453.9479861046,0,21,0
"MARISCAL LUZURIAGA",3500,0.28,206.45800644149,165.166405153192,2931.70369146916,2766.53728631596,509042.860682137,96870.096622347,510440.581385746,164543.727805764,0,0,0
"MARISCAL NIETO",3000,0.69,4196.87592101385,1626.87886825818,59498.9684644857,55266.7256115532,717701.149425287,89537.2826407309,91222.3990568818,18448.5705865016,9.33333333333333,105.333333333333,9.66666666666667
"MARISCAL RAMON CASTILLA",100,0.35,833.278222339792,304.212684346273,7433.37080880894,10144.8316910257,400581.972091793,32881.4231862972,473852.787514053,132123.80133589,0,10,0
"MAYNAS",300,0.56,2304.76393656478,1099.92148414207,9147.35975126736,9058.17692822881,559193.787279732,62466.4471486852,228800.613437928,50038.5409690151,2.125,82,2.125
"MELGAR",4700,0.43,399.930012247857,274.951883420401,4399.23013472642,3199.44009798285,556452.620791362,83097.957857375,394577.074012048,148532.381833179,0,4,0
"MOHO",4300,0.28,340.007555723461,302.228938420854,1964.48809973555,2531.16735927465,453910.08689082,163128.069512656,495305.251227805,268094.82432943,0,0,0
"MORROPON",1900,0.43,2363.62505442558,1175.59246128009,4857.87149343783,4845.43136157243,631921.378366611,106213.845866766,411293.276108727,150587.360826025,0,45,0
"MOYOBAMBA",1600,0.49,602.881001552098,384.817660565169,7863.10753088162,7850.28027552945,519619.287061148,49211.765158609,206053.438345797,52321.0277196988,3,38.5,3
"NAZCA",1500,0.61,2390.46433951143,1522.69303818194,16176.5669002554,15456.1529897177,781501.735542603,90149.9770777392,41106.8177352806,108.880738751719,3,39.5,3
"OCROS",2600,0.47,545.404963185165,181.801654395055,3908.73556949368,3363.33060630852,410235.433142442,103717.843832379,171304.426870285,48001.0908099264,0,0,0
"OTUZCO",2400,0.28,435.725327053356,321.606789015572,3091.57493956905,4533.61828386468,517652.062951935,81563.6314593686,502283.615690262,293545.144256206,0,10,0
"OXAPAMPA",2700,0.43,354.765333166385,208.685490097873,6824.01552620046,7324.86070243536,606586.114067489,66727.1854587951,400208.372461863,264981.740019616,0.666666666666667,12.6666666666667,0.666666666666667
"OYON",3300,0.58,578.560211587735,371.931564592115,1983.63501115795,1942.30928175882,500537.234482189,64592.1150508306,178050.665344243,27100.1735680635,0,0,0
"PACASMAYO",1200,0.58,1757.69449072633,924.620539392497,6792.7568339528,6325.86923485362,617719.757584635,97249.9404947178,245648.058296867,26166.7612648077,0,13.3333333333333,0
"PACHITEA",2900,0.27,121.596973586435,148.61852327231,2215.76707424171,2283.32094845639,422144.159967574,44409.9169087347,399635.479294738,265458.353036547,0,0,0
"PADRE ABAD",1200,0.44,918.584413072907,451.234448527042,11377.554309289,13327.5317475666,686923.870302327,40256.5590150197,132868.07838587,13681.2673241797,0,12,0
"PAITA",200,0.55,2508.02418451892,1455.54974994402,13450.7725610211,15294.4689109502,633918.041352542,61700.3806822423,232964.245726655,35481.8989325969,0,45.5,0
"PALLASCA",2700,0.33,320.831595495524,32.0831595495524,641.663190991049,866.245307837916,450030.479001572,88164.5224421701,463818.858481183,102045.301421284,0,0,0
"PALPA",2000,0.61,3451.25107851596,1568.75049023453,42434.700760844,42670.0133343792,692838.654012079,120872.22527257,59516.0404737626,27.4531335791042,0,0,0
"PARINACOCHAS",3200,0.42,518.89648015221,172.96549338407,7552.82654443772,10089.6537807374,515062.411715529,85762.057136268,290444.521317997,167663.236184381,0,22,0
"PARURO",3500,0.25,288.739172281039,160.410651267244,1539.94225216554,1154.95668912416,525826.114854026,107539.30060956,449579.403272377,145193.455245428,0,0,0
"PASCO",3600,0.55,785.040951939422,475.96971101839,11231.6488950703,11101.8389738835,532659.558028125,45396.3838664812,268856.374594344,112005.192396847,4.25,31.25,4.25
"PATAZ",2800,0.39,339.627047048959,148.58683308392,4393.92492119591,3215.84360174483,515819.191050827,56123.3695248405,430679.784761359,286948.344848813,0,11,0
"PAUCAR DEL SARA SARA",3400,0.44,523.468853603211,348.979235735474,4972.9541092305,7066.82952364334,523643.343221078,126766.707380911,242209.038562206,154088.291746641,0,0,0
"PAUCARTAMBO",3000,0.24,76.6136755410841,76.6136755410841,1110.89829534572,900.210687607738,527983.144991381,60601.4173529975,479569.622677648,212126.412564643,0,0,0
"PICOTA",900,0.44,1152.49172980472,746.985380428983,6786.89574218333,7043.00501547327,549567.815601323,59822.8577526411,331075.445523423,94898.7301248533,0,0,0
"PISCO",1900,0.57,2665.89147836445,1297.4950546295,14570.2313511674,16938.337079289,716330.712346055,83032.5933593778,43141.5687636928,4530.88109131387,2.66666666666667,34.3333333333333,2.66666666666667
"PIURA",772.7272727,0.57,2144.62803632179,1087.52414607807,11444.353747015,11394.9208312842,676234.682133677,72301.3430542951,249974.992014683,62853.2552208764,6.08333333333333,61.8333333333333,7.16666666666667
"POMABAMBA",3714.285714,0.34,300.34038577054,200.226923847027,4338.25001668558,5105.78655809918,507842.221184009,90469.1984248815,394341.920843623,159100.647400387,0,7,0
"PUERTO INCA",2000,0.39,495.371373726741,154.803554289606,16842.6267067092,18545.4658038949,655097.681042757,45481.2842502864,318289.730332208,122238.459395028,0,0,0
"PUNO",4600,0.54,1088.38794639399,805.63947633434,10167.3251220079,9075.06390890077,585618.560694089,91811.9141684096,257524.362847626,79059.4933767139,1.66666666666667,24.1666666666667,1.66666666666667
"PURUS",300,0.35,427.167876975651,0,32037.5907731739,39513.0286202478,399829.13284921,25630.0726185391,338105.510465613,16715.0790260572,0,0,0
"PUTUMAYO",110,0.4,977.676389115203,162.946064852534,37722.0140133616,41143.8813752648,420971.158546521,32263.3208408017,390048.069089131,143267.068600293,0,0,0
"QUISPICANCHI",3010.714286,0.35,426.08980662078,404.239047306894,3201.13623948432,2928.00174806075,637026.11165738,75723.8064022725,471167.049054955,166949.743253578,0,0,0
"RECUAY",3300,0.43,557.894202972055,405.741238525131,6999.0363645585,8469.8483542121,546178.424709641,138357.76233707,277005.122483136,127135.466856013,0,4,0
"REQUENA",400,0.38,1224.53233286436,729.508623834089,7490.49033401073,10786.3060809755,425980.928560263,47561.3568860403,497328.304934605,149376.009587828,0,2,0
"RIOJA",2400,0.47,614.40066325662,266.487034665522,7765.13609344812,9697.16709477315,569941.742973255,50847.2066977075,328846.333212427,42883.2416667284,0,8.66666666666667,0
"RODRIGUEZ DE MENDOZA",2400,0.37,95.2260030472321,95.2260030472321,1428.39004570848,1364.90604367699,609859.06551549,93892.8390045709,350654.837480955,140714.512442864,0,9,0
"SAN ANTONIO DE PUTINA",3714.285714,0.5,180.613251455326,83.3599622101505,2139.57236339386,1417.11935757256,366228.100643261,31704.5722939272,174803.75675563,41835.1695680565,0,0,0
"SAN IGNACIO",2100,0.36,400.881940268591,167.03414177858,7215.87492483464,7129.01717110977,559444.110376161,59417.3849134763,547423.59858355,324542.86096078,0,50,0
"SAN MARCOS",2500,0.34,163.788240004368,181.986933338186,1747.07456004659,1856.2667200495,557626.162441537,90629.4928024168,602793.863400608,416257.802689767,0,0,0
"SAN MARTIN",900,0.61,2115.36608007954,958.763043489289,16704.7973661917,16187.3696919276,691810.946131721,67022.1022782036,166065.216178239,76555.6057201122,4,47.8,4
