"PROVINCIA","ElevacionPromedio","IDH_2019","FallMasc_2ola_mill_hab","FallFem_2ola_mill_hab","CasosMasc_2ola_mill_hab","CasosFem_2ola_mill_hab","Adult_15_64_mill_hab","Mayores_65_mill_hab","Pobreza_mill_hab","PobrezaExt_mill_hab","UCI_2ola_cant_hosp","UCIN_2ola_cant_hosp","VENT_2ola_cant_hosp"
"PALPA",2000,0.61,4157.1887991215,2431.56325986352,6039.68938740293,10902.81590713,692838.654012079,120872.22527257,59516.0404737626,27.4531335791042,0,0,0
"PARINACOCHAS",3200,0.42,1383.72394707256,1153.10328922713,5592.55095275159,7437.51621551501,515062.411715529,85762.057136268,290444.521317997,167663.236184381,0,19,2
"PARURO",3500,0.25,834.13538658967,513.314084055181,1475.77799165865,1090.79242861726,525826.114854026,107539.30060956,449579.403272377,145193.455245428,0,9,0
"PASCO",3600,0.55,1440.27198269201,958.1208468552,5204.75969711018,6892.28867253902,532659.558028125,45396.3838664812,268856.374594344,112005.192396847,9.5,48,9.5
"PATAZ",2800,0.39,307.787011388119,191.04021396504,1836.10872310844,1517.70836650004,515819.191050827,56123.3695248405,430679.784761359,286948.344848813,0,14,0
"PAUCAR DEL SARA SARA",3400,0.44,2093.87541441284,610.713662537079,13522.9453847496,15791.3104170302,523643.343221078,126766.707380911,242209.038562206,154088.291746641,0,0,0
"PAUCARTAMBO",3000,0.24,766.136755410841,555.44914767286,459.682053246504,612.909404328673,527983.144991381,60601.4173529975,479569.622677648,212126.412564643,0,0.5,0
"PICOTA",900,0.44,768.327819869811,533.560986020702,5186.21278412123,7320.45672820403,549567.815601323,59822.8577526411,331075.445523423,94898.7301248533,0,0,0
"PISCO",1900,0.57,3452.8966754348,2268.843811374,3644.33037201948,4516.41721201636,716330.712346055,83032.5933593778,43141.5687636928,4530.88109131387,2.66666666666667,43.3333333333333,2.66666666666667
"PIURA",772.7272727,0.57,2178.85082413543,1434.82206685358,2831.61881391423,4149.82990006946,676234.682133677,72301.3430542951,249974.992014683,62853.2552208764,6.64285714285714,37.7142857142857,7.5
"POMABAMBA",3714.285714,0.34,1368.21731295468,600.68077154108,4438.36347860909,4772.07501835413,507842.221184009,90469.1984248815,394341.920843623,159100.647400387,0,8,0
"PUERTO INCA",2000,0.39,712.09634973219,371.528530295056,6068.29932815257,6161.18146072634,655097.681042757,45481.2842502864,318289.730332208,122238.459395028,0,0,0
"PUNO",4600,0.54,2153.5362925091,952.823611433883,2738.39956619413,2560.22929738942,585618.560694089,91811.9141684096,257524.362847626,79059.4933767139,3.16666666666667,45.3333333333333,3.5
"PURUS",300,0.35,640.751815463477,213.583938487826,7475.4378470739,8329.7736010252,399829.13284921,25630.0726185391,338105.510465613,16715.0790260572,0,0,0
"PUTUMAYO",110,0.4,325.892129705068,81.4730324262669,10917.3863451198,12383.9009287926,420971.158546521,32263.3208408017,390048.069089131,143267.068600293,0,0,0
"QUISPICANCHI",3010.714286,0.35,1431.22473505954,1125.31410466514,2359.8820058997,2567.46421938162,637026.11165738,75723.8064022725,471167.049054955,166949.743253578,0,1.75,0
"RECUAY",3300,0.43,1420.09433483796,1115.78840594411,3803.8241111731,5528.2243749049,546178.424709641,138357.76233707,277005.122483136,127135.466856013,0,14,0
"REQUENA",400,0.38,364.754311917044,182.377155958522,3660.57005888177,5119.58730654995,425980.928560263,47561.3568860403,497328.304934605,149376.009587828,0,2,0
"RIOJA",2400,0.47,873.485280292544,510.76681644225,3982.50068472363,5744.27608056791,569941.742973255,50847.2066977075,328846.333212427,42883.2416667284,0,6.66666666666667,6.33333333333333
"RODRIGUEZ DE MENDOZA",2400,0.37,857.034027425089,539.614017267649,2507.61808024378,5523.10817673946,609859.06551549,93892.8390045709,350654.837480955,140714.512442864,0,16,0
"SAN ANTONIO DE PUTINA",3714.285714,0.5,319.546521805577,111.146616280201,819.70629506648,958.63956541673,366228.100643261,31704.5722939272,174803.75675563,41835.1695680565,0,0,0
"SAN IGNACIO",2100,0.36,634.729738758602,340.749649228302,2131.35564909467,1984.36560432953,559444.110376161,59417.3849134763,547423.59858355,324542.86096078,30,52,0
"SAN MARCOS",2500,0.34,909.934666690932,800.74250668802,2802.59877340807,3057.38048008153,557626.162441537,90629.4928024168,602793.863400608,416257.802689767,0,0,0
"SAN MARTIN",900,0.61,1410.24405338636,847.160996099001,4327.1157465416,5585.1751898503,691810.946131721,67022.1022782036,166065.216178239,76555.6057201122,9.6,53.4,11
"SAN MIGUEL",2200,0.37,960.836995782993,498.211775591182,2135.19332396221,1263.32271667764,525880.322414192,113183.039447697,507084.037650576,331942.492126475,0,0,0
"SAN PABLO",2400,0.31,979.056700153244,893.921334922527,1872.97803507577,4256.76826153584,567384.641580112,102715.81815086,750828.792780521,400972.245870935,0,0,0
"SAN ROMAN",4500,0.56,1618.05407707047,828.679517204107,2748.07160053062,3445.73459327558,712261.50898282,47051.3093463913,246329.37554249,52692.6843648155,5.25,46,5.75
"SANCHEZ CARRION",2800,0.29,511.808595917864,308.318431275822,2078.06622679904,2429.54923845347,554035.8882654,60183.7577850404,538773.139298267,303521.921440464,0,38,0
"SANDIA",3010.714286,0.41,504.637206764866,313.693398799782,709.219858156028,709.219858156028,517239.498090562,58919.8036006547,297646.61756683,85886.2520458265,0,4,0
"SANTA",2600,0.62,2998.26275156006,1735.01259896391,3279.97871479389,6770.12648152413,661088.988706767,93201.0311698591,163762.160180119,12083.2671897044,4.1,46.5,4.8
"SANTA CRUZ",2100,0.39,899.280575539568,307.071416037901,2281.10194771012,2171.43358483945,520968.590980874,109602.561852957,511109.624495525,306806.457273206,0,0,0
"SANTIAGO DE CHUCO",2500,0.35,646.44225885395,400.178541195303,1908.54381185452,2554.98607070847,492512.043834942,74033.030121131,431555.463206661,235235.412722599,0,7,0
"SATIPO",2500,0.39,704.28018318363,357.448736188676,7350.70321845426,8883.13195874829,476864.926846877,29126.7633547803,259869.371951953,36254.1849814905,2.33333333333333,13,1.33333333333333
"SECHURA",300,0.47,1961.060767249,1012.57386021354,2858.27811174201,3294.0693933529,617144.541714198,49757.1104474551,315778.848741973,35837.8087388969,0,0,0
"SIHUAS",3100,0.31,739.003309449603,739.003309449603,4498.28101404106,5044.50085146033,523760.562927738,97162.8699032869,528158.91784211,90121.1322815924,0,8,0
"SUCRE",3500,0.39,1039.08560466789,719.366957077772,11909.519622732,11429.9416513468,456318.439773,119974.422508193,392287.586923507,261592.198864999,0,0,0
"SULLANA",800,0.54,1865.5007541386,1309.81967843774,2470.03291341756,3211.95874525992,635119.043984294,74894.8175106709,235583.52619334,35180.5658176755,4,41.6666666666667,4
"TACNA",2910.344828,0.61,2269.21838367848,1113.54217766716,5615.86406358627,9398.89789420145,681307.238325112,66457.4009925573,155419.850544582,12561.2673915726,11.25,102,14.5
"TAHUAMANU",400,0.64,662.03243958954,264.812975835816,14299.9006951341,14697.1201588878,535915.259847732,34955.3128103277,40989.7384971864,2035.08771929825,0,14,0
"TALARA",600,0.58,3449.03178662769,2199.48849104859,2111.80124223602,1717.20862257947,689119.473876507,78443.5513335769,178467.373036171,19248.9587139204,5,17.3333333333333,5.33333333333333
