"PROVINCIA","Axis1","Axis2","Axis3","cluster","Indice","ElevacionPromedio","IDH_2019","FallMasc_2ola_mill_hab","FallFem_2ola_mill_hab","CasosMasc_2ola_mill_hab","CasosFem_2ola_mill_hab","Adult_15_64_mill_hab","Mayores_65_mill_hab","Pobreza_mill_hab","PobrezaExt_mill_hab","UCI_2ola_cant_hosp","UCIN_2ola_cant_hosp","VENT_2ola_cant_hosp"
"CAJABAMBA",2.54117232037097,0.309752388506802,0.239535636470331,2,1.98510428056854,2700,0.35,1037.42126713598,617.51265900951,2445.35012967766,3643.32468815611,571705.569964184,83240.7064344819,582829.566506113,474936.396196122,0,21,0
"CAJAMARCA",-1.518044965287,2.43144090776989,0.712320591441691,1,-0.533836284394118,2500,0.54,1453.00585798847,832.477872942426,3324.80426555533,3618.46977288165,609629.164304574,66539.4967339288,346342.434410447,162141.996210438,9.66666666666667,36.4444444444444,10.3333333333333
"CAJATAMBO",1.39631845970794,-1.53034539746616,0.616067476513146,3,0.666996196793564,3312,0.38,1324.18442277597,361.141206211629,3129.89045383412,5055.9768869628,480678.945467678,132899.963885879,297054.291561334,154129.04779102,0,0,0
"CALCA",1.50048727540464,-0.00272426535212605,0.413306926212365,2,1.1258881768931,3200,0.39,685.545536043875,421.874176027,1331.54036808522,1700.68027210884,581461.266677213,74988.1347887992,343746.90186152,74114.0642303433,0,0,0
"CALLAO",-5.34339545692799,3.03601703248451,1.27466967461172,6,-3.25525265101923,300,0.64,2879.71230971657,1678.19332000393,2844.12562101113,6147.13222796084,658949.349840562,81432.6451679364,181411.20887045,5369.72228335433,12.0769230769231,104.846153846154,14.0769230769231
"CAMANA",-4.72008185591255,-0.938676690652954,-1.04420303920305,5,-3.77775875127486,1300,0.62,3201.46720507087,2075.32296208111,9781.36713911099,10328.351485706,663234.608021365,75950.3853022089,139487.765247189,13789.7971331585,8,57,0
"CANAS",2.40052061080786,-0.536718458528142,1.21962997348971,2,1.66856301358756,4300,0.26,1070.7171314741,622.509960159363,1494.02390438247,1518.92430278884,535059.760956175,92380.4780876494,512696.962151394,102860.806772908,0,0,0
"CANCHIS",-1.01910787830064,-1.07889499275233,1.08512474284884,3,-1.03400677880066,4523.076923,0.47,1933.99523203156,1273.37309831781,4681.80033892788,4691.37457274982,643809.779122426,87460.6259634073,309939.203615231,49172.5947131081,0,45,2
"CANDARAVE",1.72476643252651,-0.918831706833014,0.636795567262831,2,1.06598391723773,3714.285714,0.37,354.107648725212,472.143531633617,3305.00472143532,1888.57412653447,501416.430594901,111779.981114259,232744.33427762,122492.917847025,0,0,0
"CANGALLO",2.32585787825691,-0.531595898774953,0.942145780045409,2,1.61378271126102,3800,0.33,1077.80015316107,368.721105028789,2807.95303060385,3743.93737413847,547692.656777378,114587.174178177,500828.204328219,335519.754942281,0,29,0
"CANIETE",-3.47478466776777,0.790071115520602,1.73957605980772,6,-2.41198606066203,1900,0.68,2707.55573489357,1646.32301018864,1965.09633814183,2146.67608191264,655821.648340563,80835.2668213457,149978.371834964,8901.16009280742,4.75,72,5.5
"CANTA",-0.3499597496883,-1.46770026290956,-0.0241132272692574,3,-0.628499780329445,2900,0.57,1370.11895123622,685.059475618111,3861.24431712026,5293.64140250358,491685.869091362,105250.046708601,128965.560191817,30795.2917730585,0,0,0
"CARABAYA",0.898929800417589,2.27497577497704,-0.036743673897914,1,1.24183934282364,3010.714286,0.34,595.106009562042,302.596276048496,2128.26047487442,2299.73169796857,506465.473764903,43452.825240564,334699.320167033,103938.794859898,6,23,6
"CARAVELI",-2.77323618396132,-2.11632113225264,-1.70954929738755,5,-2.60953348510841,2400,0.62,2146.35909717358,1445.96823388536,9466.57328121823,9556.94629583606,651747.588170172,70129.45934344,104238.720318113,17632.9048146224,0,0,0
"CARHUAZ",0.8254255225069,-1.01538107816749,1.41750749789998,3,0.366698008480782,4117.647059,0.41,1415.81128068459,687.084886214579,1853.04711736659,2769.16029898603,628870.057673489,105457.119656874,338595.223719003,120880.926107144,0,13,0
"CARLOS FERMIN FITZCARRALD",2.68020089558353,-0.517047348960708,1.14251436624966,2,1.88344922248174,3300,0.31,538.889886833124,359.259924555416,1077.77977366625,987.964792527394,463669.840129334,119588.647386384,383217.621699299,159357.373809952,0,0,0
"CASMA",-2.07118293510193,-1.23883902120842,1.14117572460645,5,-1.86376350587169,2300,0.56,2683.67705043248,1630.8498998782,2415.30934538924,4190.66493259842,696104.539542949,91575.3184286039,205764.331867633,32725.3772630623,0,30,0
"CASTILLA",-1.48853340683255,-1.82565983062056,-0.738401087921469,5,-1.57254503860317,3010.714286,0.57,1782.48766909215,1147.62904722371,8179.90916638179,6934.60956194755,562264.980221712,92567.2705962788,160909.068711237,63580.358450945,0,19,0
"CASTROVIRREYNA",2.03365695600156,-0.440137584675171,0.640512234275359,2,1.41718935998127,2900,0.4,1116.18467782851,304.41400304414,1319.12734652461,1978.69101978691,428868.594622019,104464.738711314,350973.61745307,147504.819888382,0,0,0
"CAYLLOMA",-1.88585306751476,-0.743341445867492,-0.307939770143798,5,-1.60114009671588,2910.344828,0.59,2154.6491866958,1052.0352836449,6514.5261794934,5502.95379137331,625020.231447762,71862.1024520515,182825.625151736,65199.4820749373,2,22,2
"CELENDIN",3.02143326193854,0.656333720681986,0.645296054230903,2,2.43205237174212,2400,0.32,922.528349607148,611.563737380019,912.16286253291,1326.78234550242,517693.886435724,83929.348840102,591425.980056803,418040.819288098,0,18,0
"CHACHAPOYAS",-2.87492609797165,-0.490513471032003,-0.276635243194522,5,-2.28073240246459,2600,0.54,1918.93830703013,1416.7862266858,7388.80918220947,9827.83357245337,705864.418938307,96395.2654232425,229499.641319943,121917.682926829,5.5,21.5,6.75
"CHANCHAMAYO",-2.10814649814741,1.46443606086685,-0.91234896000405,1,-1.21786181786145,2600,0.48,1814.78694115518,852.616436920673,6244.58183688828,7987.92047327357,510417.16283545,47646.4928408799,220260.691048004,35576.1114974612,7.66666666666667,47.3333333333333,7.66666666666667
"CHEPEN",-1.2591819199844,-0.321949084766462,0.727792892913204,3,-1.02562425650923,800,0.56,2231.41038262125,1542.2983526941,1279.77948415042,2406.42296165037,579171.315438297,86664.0414779812,270450.110476691,35521.4281026449,0,31,0
"CHICLAYO",-3.26509260124498,1.02309447257848,0.747428191942448,6,-2.19647985543382,1300,0.58,2478.88482963177,1358.69565217391,3556.12023439196,4458.14946104319,615750.244158287,84365.7310279968,123452.409480576,7155.21684873038,7.33333333333333,41.1333333333333,7.86666666666667
"CHINCHA",-3.91950765226106,-1.12839488332784,1.75979517851344,6,-3.22396461075402,2500,0.59,3810.78691423519,2263.48364279399,2082.22811671088,4933.68700265252,671909.814323607,82820.5128205128,34759.1069849691,203.846153846154,2.14285714285714,35.2857142857143,3.57142857142857
"CHINCHEROS",1.73512456463027,-0.285128347681071,0.390251538660864,2,1.23167917507708,3000,0.34,1356.07975757982,669.669016088798,2511.25881033299,2661.93433895297,458338.216336576,86504.4951532705,391351.392074467,185003.264636453,0,14,0
"CHOTA",1.40502671879646,1.20785907814523,0.12685509209386,2,1.35589270243146,2200,0.36,818.60151561663,421.339015390912,4153.19886599614,4129.12235083094,559189.102969236,98310.4305482824,595049.928673324,300731.745487158,5,23,5
"CHUCUITO",2.40091313854583,0.0950314919616665,0.67024167408711,2,1.82628929974142,4425,0.35,505.904352058198,256.154102307949,832.500832500833,890.135505520121,393145.316222239,71441.3791336868,256378.813494198,88888.5473500858,0,12,0
"CHUMBIVILCAS",1.34882106980177,-0.201940151008085,-0.052020371418904,2,0.962372629531293,4000,0.34,996.973473384369,451.011809388167,4925.52370779182,4593.1992166637,507554.447807252,80339.4457302237,466639.724645422,117385.318378731,0,40,1
"CHUPACA",-1.81924014727813,-2.90281253043947,-0.72831101400183,5,-2.08926550758097,4000,0.51,2325.53881086228,1190.23639926022,9357.08923110729,10767.0615810002,647873.139111168,106407.134093864,247320.320082035,49803.1532108916,0,7,0
"CHURCAMPA",2.46338806468358,0.0996629357495688,-0.173917843610456,2,1.8743496769248,3100,0.32,567.029420103374,348.941181602076,2747.91180511635,2028.22061806207,443591.477111639,73910.1040280898,355784.572438008,191814.276056092,0,0,0
"CONCEPCION",-0.0703931985599054,-1.83627710225419,0.140024316183296,3,-0.510450037178173,3700,0.45,1513.90035783099,860.170657858519,5057.80346820809,7001.78915496835,620062.620423892,108605.147261217,313101.775392238,95937.0699146711,0,0,0
"CONDESUYOS",-1.4349278334359,-2.32201206444522,-2.00041575587087,5,-1.65598850535743,3010.714286,0.58,1672.91899016526,811.112237655886,13028.4903173477,7756.26077258441,582226.503092365,92314.7115482105,173806.1441752,113487.78262192,0,0,0
"CONDORCANQUI",4.00117081519307,2.21352478725061,-2.22633045601813,2,3.55569087283721,1400,0.25,288.075475774653,180.047172359158,3979.04250913739,4519.18402621487,456851.695144128,17410.5615671306,772676.941358636,518556.201724852,1,13,0
"CONTRALMIRANTE VILLAR",-1.7621551938059,-0.433584152850497,0.242785551133522,5,-1.43107636640421,800,0.54,2496.87890137328,1152.40564678767,2304.81129357534,2400.84509747431,673581.100547393,73657.9275905119,115473.446653222,2187.1698837991,0,16,0
"CONTUMAZA",0.995349402683727,-1.0180789865087,-0.112541593232172,3,0.493604678764615,2100,0.42,1398.68834115563,714.88515214621,4133.9010971933,5563.67140148572,556211.730332888,111895.06729245,421404.593914152,237741.273738849,0,0,0
"CORONEL PORTILLO",-3.74359613836441,2.56311945589517,0.418245443026068,6,-2.17196772005878,1100,0.52,2211.63919409285,1267.77029318137,3714.74409259531,4942.02671174294,645965.656330501,58416.1221918002,113053.327327662,6059.96730620322,10,65.8,11.2
"CORONGO",1.12510729404189,-1.42185403441818,0.871928365238708,3,0.490406593763488,2900,0.39,1322.59228087051,480.942647589275,3727.30551881688,2885.65588553565,559576.770470121,135265.119634484,391625.586148852,75958.8794036311,0,0,0
"COTABAMBAS",1.28422932067159,-0.693765573671628,-1.0145155603774,3,0.791314594971456,3500,0.37,1154.73441108545,521.492959845042,8045.89138046636,5680.54831259778,610202.637264397,74275.4972807867,442131.04373091,346855.211204649,0,12,0
"CUSCO",-3.16413077821446,-0.165899892522903,0.559977890129921,6,-2.41697406975539,3800,0.67,2033.34600553956,1127.46429153316,4368.6525824146,6623.58116548091,719632.868082333,68896.9749633411,88490.0016292837,3102.67745614511,4.1875,39,4.9375
"CUTERVO",2.17800684551909,0.621272974713404,-0.491322142876737,2,1.79007002570688,2200,0.35,669.730979640178,408.888387569793,4088.88387569793,4413.17466583949,539154.588009701,81255.9923298178,569780.892222661,370073.881901754,0,46,0
"DANIEL ALCIDES CARRION",1.73015011093188,-0.332679737499353,0.292993090682048,2,1.2160945833805,3900,0.37,688.855050395185,489.449641070263,2682.90914364441,2972.95337538975,584711.043434124,76662.3160031905,358721.811326227,188911.609020376,0,0,0
"DATEM DEL MARAÑON",2.73528965295481,1.76725902282159,-1.84143789321362,2,2.49405720392976,1100,0.32,391.448358928034,210.779885576634,2062.63173742849,2875.63986750979,441644.083107498,19677.80788919,536680.216802168,184274.314965372,0,0,0
"DOS DE MAYO",2.10594193201008,0.212487564267315,-0.17210067062175,2,1.63409463706974,3100,0.39,1022.12163247426,383.295612177849,1660.94765277068,2062.495436957,371230.926480251,60597.2110681171,301078.885887421,156722.822515879,0,0,0
"EL COLLAO",1.88118480879792,-0.705283672155313,1.42271702924407,2,1.2366389581149,4620,0.38,1119.44095797008,316.609563870326,1469.97297511223,1096.8259891222,507378.133586621,101462.057736015,331936.067483067,113138.844601242,0,10,0
"EL DORADO",1.20854064996618,0.306419245115902,-2.21567167051954,4,0.98373272650203,1200,0.33,282.612279503544,400.367395963355,5416.73535715127,6853.34777796095,566637.620404607,55250.7006429429,362760.886460517,151111.843809614,0,0,0
"ESPINAR",0.654543106589959,-0.180332010519074,0.25111455378653,3,0.446492903568423,4500,0.46,735.533332390342,424.34615330212,3861.54999504929,3140.16153443569,556770.442875935,70059.5499101801,294792.84835283,49505.9196288386,0,17,2.5
"FERREÑAFE",0.451037976771659,0.226965806132865,0.846288314701115,3,0.395199373323631,2000,0.42,1773.01740284774,927.424487643433,1291.12036515066,1300.21276208834,555363.604953538,80422.2509137859,303861.450055464,176335.945882053,0,41.5,0
"GENERAL SANCHEZ CERRO",0.657610076367607,-1.05706280894081,-0.796650238108895,3,0.230314982055496,3000,0.53,813.752415827485,372.969857254264,5628.45420947343,3967.04302715899,339097.412945445,93717.1532227986,112016.410673719,38090.0552673516,0,0,0
"GRAN CHIMU",2.17208528063048,0.238074745721277,-0.135659641002866,2,1.69013142167854,2300,0.37,639.386189258312,243.575691146024,2587.9917184265,2374.86298867373,517172.086225795,86012.6659359396,423107.721349409,225640.604067714,0,9,0
"GRAU",2.16221017648501,-0.846617468324037,0.919395192253117,2,1.41241276423613,3700,0.3,1287.52207180695,698.940553266627,3016.48028251913,1765.74455562095,478921.424367275,104546.792230724,423232.416127134,198594.761624485,0,0,0
"HUACAYBAMBA",2.60688004944642,0.233349373804581,-1.05673843116053,2,2.01539812738953,2600,0.32,639.059304703477,298.227675528289,3749.14792092706,4601.22699386503,420160.190865712,65397.0688479891,440201.51670075,272941.376959782,0,0,0
"HUALGAYOC",1.85337589673271,-0.159987081061803,-0.681698447260194,2,1.35164747328098,3000,0.37,716.762557873733,445.555103543132,4445.86505491951,5666.29859940722,523139.807442707,78853.5673466225,502240.754731601,245144.708548846,0,15,0
"HUALLAGA",-0.640393245299542,-1.24097847343887,-2.64345136036658,4,-0.790058597740275,1700,0.41,975.646365717288,600.397763518331,8555.66813013622,12045.4801305865,661563.285676761,76850.9137303464,270366.993132951,119067.507223536,0,0,0
"HUAMALIES",2.0809077510412,0.142877721955851,-0.363676535587145,2,1.59795223739594,2800,0.38,695.965974996778,373.759505090862,2332.77484211883,2590.54001804356,411805.645057353,69145.5084418095,324522.361129011,156389.354298234,0,0,0
"HUAMANGA",-1.90607497485929,2.22312124681066,1.01925480263257,1,-0.877082620638732,3400,0.49,1365.50627441491,753.621184360632,3301.41390396515,4860.51094133508,664980.8137726,69409.2024751962,262020.085041657,125448.473744253,8.5,73.25,9.75
"HUANCA SANCOS",2.15296508719139,-0.873604663880606,0.229396267794834,2,1.39874635643105,3800,0.38,741.564701520208,463.47793845013,3985.91027067112,3893.21468298109,477753.058954394,104560.622914349,406488.691138302,252429.551353356,0,0,0
"HUANCABAMBA",3.33907043238709,0.977996103084935,0.454516536620402,2,2.7506926217497,2000,0.26,597.028634411812,283.205890682526,497.523862009843,375.056449822805,511355.025373717,84739.7950201688,514018.461962387,353684.738264177,1.5,2,0
"HUANCANE",2.36785617096946,-1.30811072293604,2.15472067484862,2,1.45180819815917,4500,0.32,935.106572463338,371.074036691801,1721.78353024996,1751.4694531853,548120.881078193,150403.728551921,456551.98005106,190531.378020543,0,18,0
"HUANCAVELICA",-0.0627589321419036,1.38562474486393,0.824865592210043,1,0.298177107127774,3800,0.43,1207.4999846764,833.604050334974,2776.63702060105,2574.36544956389,451635.641476705,65511.4712498544,287794.504342709,89897.1479708484,6,30.3333333333333,7
"HUANCAYO",-4.05969857979718,-0.859280551460995,-0.0128041744173941,5,-3.26215699914163,3200,0.58,2841.40845777775,1491.20824568622,7600.91249582288,10774.5590601525,716061.973996573,89822.1173998119,151766.888609448,20834.091492966,6,42.3529411764706,5.82352941176471
"HUANTA",1.6086013385433,0.654482757408256,-0.0106436050904966,2,1.37083576086129,2700,0.39,1006.25821998217,600.224201392873,1827.15308365183,2692.18207977686,525337.405442621,57983.4232198498,404758.012551747,248883.406448879,0,29.5,0
"HUANUCO",-2.21924486137236,1.35683270338077,0.561184261152628,1,-1.32808922848687,2600,0.53,1913.42907785871,1136.78356016811,4027.28280544403,5402.07063716249,624407.338047488,69813.5424430512,216700.039458603,139261.309900351,7.375,53.375,7.375
"HUARAL",-3.22324792760684,-0.817312885681207,0.0728889258196507,5,-2.62369086371619,2600,0.63,2315.93501555479,1515.9745197768,3915.85600711076,9999.50619722483,647508.764999259,86030.3194903955,126464.915312824,10994.8644511382,3.5,21.5,4.75
"HUARAZ",-3.27673951037019,0.588851990803901,0.85506226810932,6,-2.31343723900478,3111.111111,0.56,2258.47811511181,1117.47615070636,4340.5126274805,7816.45160151977,674455.671485537,89574.5356592521,155716.713914342,33503.7582487384,7,68.5,7.5
"HUARI",1.23863505783749,-0.811058914701525,1.04884300002351,3,0.727852979919759,3915.789474,0.42,979.767033172112,559.86687609835,2083.94892769941,2426.08979642618,589913.065115628,102300.119749304,373627.004245657,96168.1777888369,0,5.5,0
"HUARMEY",-3.11221099901187,-2.34980511634091,-0.7565971856015,5,-2.92222007051976,2400,0.57,3156.78709224833,1562.4501769714,6855.64873569083,11893.7533879659,644749.848537993,91897.5797965626,159513.727240841,31106.4698192022,0,18,1
"HUAROCHIRI",-0.786387774978721,-1.17223428597054,0.380320278486276,3,-0.882540413022327,3010.714286,0.55,2223.98912204284,1394.31442366417,2293.12868024107,5438.97857826022,467901.960106475,77563.0610387066,211654.62486028,42828.9602562773,0,11,0
"HUAURA",-3.93021399821078,0.0567075632489084,1.51334521058196,6,-2.93667637408693,2600,0.65,2868.99679600058,1567.64046488056,2499.63493304243,7417.30159684582,682988.738758085,99212.3143527148,143782.952661553,13392.6746093784,6,69,6
"HUAYLAS",0.338536803409324,-0.880066745467425,0.364010684771411,3,0.0348617859714032,3412.5,0.41,1302.98818624044,1129.25642807505,3596.24739402363,6514.94093120222,581306.462821404,94788.0472550382,390682.592077832,187848.332175122,0,35,0
"HUAYTARA",1.72274105803646,-0.973921306858502,0.853117309610364,2,1.05073498072076,3000,0.4,971.694127587664,718.208702999578,2534.85424588086,2196.87367976341,453316.434305027,120025.348542459,297002.534854246,217763.836079425,0,0,0
"ICA",-5.17969229745618,-0.59417996103658,0.843564370541577,6,-4.03698633700861,1800,0.64,3292.65930660469,2300.35102242245,4738.67004157613,8909.54871198915,712625.928962401,91027.0390741286,35665.0455427051,301.115152865887,5.63636363636364,56.4545454545455,5.90909090909091
"ILO",-6.28389174440726,-2.92771989710665,-3.79558852106316,5,-5.44753643821017,900,0.69,3504.3396764598,1833.66610977548,17250.0441438138,18988.6312701194,707278.975320213,85408.0925797645,69834.290914524,3658.09597544246,2.33333333333333,41,2.66666666666667
"ISLAY",-4.07941242529788,-0.918560056655831,1.37994418957398,6,-3.29173057499404,1500,0.63,3332.2467311384,2064.54417037922,5577.89126734036,3911.76790177116,670161.903727046,112318.446883263,110500.199210402,11535.9122025426,4,53,4
"JAEN",0.0248338339614152,0.402338877200249,-0.353657823020629,3,0.1189077849967,2100,0.49,1369.8357193381,752.164340436554,4577.74191298804,4268.90622353726,624615.200693386,69771.9597118862,451906.861133527,184553.682616536,1.2,27.8,2.2
"JAUJA",-4.12208983936664,-2.06184767521944,-0.817602096888252,5,-3.60867916064308,3300,0.5,3027.38566109519,1774.6743530558,12260.3319684966,15136.928305476,634219.897231276,122765.70818786,263832.368668298,64233.700254022,7,39,6
"JORGE BASADRE",-3.02426002221689,-1.3640412799836,-1.71298534196624,5,-2.61053485625691,2100,0.68,1479.44626439818,528.373665856494,9827.75018493078,7714.25552150481,900348.726619465,73866.6384867378,93573.9194758533,6183.02863785269,0,9,1
"JULCAN",4.05949422296011,0.525749475866078,0.325498976980357,2,3.17888789395008,2800,0.22,489.191916103586,366.89393707769,1100.68181123307,2812.85351759562,535298.254196349,87718.2254563243,592425.474669031,555371.632983765,0,0,0
"JUNIN",-1.48642889043562,-1.9143016040368,-0.481826187075843,5,-1.59305442413263,2900,0.43,2517.64257104711,1487.69788289147,7591.07381270265,10108.7163837498,570398.626740416,102117.108525653,326756.437154301,110264.35246996,1,27,1
"LA CONVENCION",-0.529328549492792,-0.696369196375848,-1.35546121148313,4,-0.570954943410494,3010.714286,0.45,1196.276318079,706.890551592135,7237.47172437794,7460.41412911084,601694.36227597,63457.0210544632,297158.082477814,39042.6526883591,0,22.75,0.75
"LA MAR",2.02817568462697,0.944352457155876,-0.458112720055967,2,1.75808781412529,2600,0.33,468.521867985792,555.688727145939,2571.42234522435,3018.1524984201,518087.123275731,54250.4739697967,438981.455250714,244640.763581686,1,15,1
"LA UNION",1.20141049397001,-1.55657126528541,-0.166204544024238,3,0.514123673242011,3312,0.36,1029.33607822954,965.002573340196,6304.68347915594,5790.01544004117,506690.684508492,113612.969634586,373010.164693773,240714.745239321,0,0,0
"LAMAS",0.918533636513009,0.285439497949372,-1.24584247378946,4,0.760767089923374,1100,0.36,615.467251547061,593.086624218077,3670.42288195338,5270.63773597574,581784.40741694,68059.4877074404,311457.20264539,175510.446157806,0,10,0
"LAMBAYEQUE",-0.10132135607453,-0.44857976942185,-0.0896708800637098,3,-0.187857871437475,2000,0.48,1323.24400619474,803.74821117014,2884.99866041965,3273.80368940033,627720.818385577,77551.9005704652,280906.797880196,27305.71183993,0,0,0
"LAMPA",1.85572007469085,-0.455125609939477,1.09807541158624,2,1.2798592016257,4600,0.43,989.74770770696,466.862126276868,1363.23740872845,1624.6801994435,520028.385217278,84147.2296401427,425820.83699042,116387.047377169,0,4,0
"LAURICOCHA",2.45147865444408,0.310531859421355,0.105467922099677,2,1.9179564470687,4523.076923,0.42,729.963753523963,151.026983487716,1082.36004832863,729.963753523963,307566.451872735,46868.7072090213,214316.351188079,105309.857027789,0,0,0
"LEONCIO PRADO",-1.59112547425733,3.40359504170311,0.95030543076829,1,-0.346445166884257,2000,0.5,1232.83714573544,584.717046263095,1106.03103931694,1535.76284440186,609127.221748656,53300.8333979105,180507.435769185,103620.73702527,10.6666666666667,48.3333333333333,10.6666666666667
